MONAT,WOCHENTAG,PLZ,PRODUKT_GRUPPE,ANZAHL
01/01/2020,DO,9052,SEM,1
01/01/2020,DO,9052,PRI,281
01/01/2020,DO,9052,ECO,186
01/01/2020,FR,9052,ECO,223
01/01/2020,FR,9052,PRI,286
01/01/2020,MI,9052,PRI,276
01/01/2020,MI,9052,SEM,1
01/01/2020,MI,9052,ECO,165
01/01/2020,MO,9052,PRI,174
01/01/2020,MO,9052,ECO,128
01/01/2020,MO,9052,SEM,2
01/01/2020,SA,9052,PRI,70
01/01/2020,SA,9052,SEM,5
01/01/2020,SA,9052,ECO,2
01/01/2020,DI,9053,PRI,707
01/01/2020,DI,9053,ECO,388
01/01/2020,DI,9053,SEM,15
01/01/2020,DO,9053,PRI,610
01/01/2020,DO,9053,SEM,10
01/01/2020,DO,9053,ECO,489
01/01/2020,FR,9053,ECO,549
01/01/2020,FR,9053,PRI,783
01/01/2020,FR,9053,SEM,6
01/01/2020,MI,9053,PRI,690
01/01/2020,MI,9053,SEM,6
01/01/2020,MI,9053,ECO,449
01/01/2020,MO,9053,PRI,469
01/01/2020,MO,9053,ECO,361
01/01/2020,MO,9053,SEM,3
01/01/2020,SA,9053,PRI,213
01/01/2020,SA,9053,ECO,5
01/01/2020,SA,9053,SEM,5
01/01/2020,DI,9054,ECO,62
01/01/2020,DI,9054,SEM,1
01/01/2020,DI,9054,PRI,79
01/01/2020,DO,9054,PRI,81
01/01/2020,DO,9054,ECO,86
01/01/2020,FR,9054,ECO,77
01/01/2020,FR,9054,PRI,83
01/01/2020,MI,9054,PRI,73
01/01/2020,MI,9054,ECO,80
01/01/2020,MO,9054,PRI,46
01/01/2020,MO,9054,ECO,64
01/01/2020,SA,9054,PRI,32
01/01/2020,DI,9055,PRI,374
01/01/2020,DI,9055,SEM,5
01/01/2020,DI,9055,ECO,180
01/01/2020,DO,9055,ECO,218
01/01/2020,DO,9055,PRI,332
01/01/2020,DO,9055,SEM,5
01/01/2020,FR,9055,ECO,252
01/01/2020,FR,9055,SEM,3
01/01/2020,FR,9055,PRI,349
