BFS_NR,GEBIET_NAME,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
3339,Uznach,36.2,34.5,33.4,32.2,30.9,29.5,28.1,27.1,26.9,25.7,24.9,24.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3340,Rapperswil-Jona,40.7,38.9,37.4,35.4,34.1,33.,31.8,30.7,29.8,29.,28.2,27.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3341,Gommiswald,32.5,30.2,28.5,26.6,25.5,24.7,23.7,22.8,21.8,21.,19.9,19.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3342,Eschenbach (SG),32.,29.5,28.6,27.2,26.2,25.4,23.8,22.9,21.6,20.2,19.7,18.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3352,Ebnat-Kappel,35.9,34.3,33.4,32.4,31.5,31.,29.9,28.8,28.2,26.9,26.3,26.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3359,Wildhaus-Alt St. Johann,23.,22.1,20.3,19.2,18.7,17.9,17.1,17.,17.6,16.4,15.5,16.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3360,Nesslau,19.4,18.3,17.7,17.5,17.2,16.4,15.9,15.6,14.7,13.9,14.,12.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3372,Hemberg,25.2,24.,21.8,20.4,20.4,18.1,16.9,14.9,14.2,13.3,12.7,13.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3374,Lichtensteig,36.,33.6,32.4,31.8,31.2,30.6,29.3,28.4,27.1,26.2,25.4,24.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3375,Oberhelfenschwil,27.7,25.5,24.7,24.1,22.4,22.,21.8,19.9,19.9,19.,18.8,20.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3378,Neckertal,31.6,30.3,29.3,27.9,26.7,26.2,24.9,24.3,23.2,21.8,21.1,21.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3379,Wattwil,40.3,38.9,37.5,36.6,35.3,33.9,33.,31.7,30.9,30.3,29.6,29.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3392,Kirchberg (SG),37.8,36.5,34.9,33.4,32.2,31.4,30.4,29.,27.9,26.7,25.8,24.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3393,Lütisburg,30.9,29.9,28.5,26.6,25.2,24.1,23.2,21.9,21.3,20.3,19.8,18.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3394,Mosnang,15.5,13.2,11.4,11.9,11.5,11.,9.2,9.4,8.4,7.6,7.8,7.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3395,Bütschwil-Ganterschwil,27.1,26.2,25.,23.3,22.1,21.7,20.4,19.3,18.4,17.9,17.5,17.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3401,Degersheim,40.1,39.,37.6,36.5,35.9,35.4,34.5,33.,32.8,32.6,31.8,30.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3402,Flawil,42.8,41.7,40.6,39.3,38.4,36.5,35.6,34.7,33.5,32.8,32.4,31.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3405,Jonschwil,33.1,31.6,29.7,27.5,26.6,25.5,24.8,23.3,22.7,21.3,20.,19.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3407,Oberuzwil,38.3,36.,34.5,33.7,32.7,31.4,30.5,29.8,29.,27.5,26.5,25.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3408,Uzwil,46.9,45.6,44.2,42.7,41.7,40.3,39.,38.,37.,36.,35.,33.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3422,Niederbüren,22.6,21.2,21.3,20.8,19.9,19.3,18.9,17.9,16.6,15.3,13.8,14.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3423,Niederhelfenschwil,23.,21.7,20.4,18.7,17.5,16.3,15.7,14.4,12.9,13.2,13.1,12.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3424,Oberbüren,31.7,30.2,29.3,26.6,24.6,25.2,23.3,22.,21.9,20.7,20.1,18.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3426,Zuzwil (SG),33.3,31.5,30.2,28.6,27.,26.5,24.5,23.7,22.2,20.8,19.8,19.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3427,Wil (SG),46.1,44.5,42.8,41.,39.7,38.5,37.2,36.2,35.3,34.,32.7,31.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3441,Andwil (SG),21.9,20.2,19.4,17.9,17.4,16.2,15.8,15.1,14.4,14.,12.9,12.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3442,Gaiserwald,36.6,35.,33.7,32.4,31.2,30.1,28.5,26.3,25.3,24.4,23.8,23.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3443,Gossau (SG),39.,37.6,36.1,34.6,33.2,32.,31.,29.7,28.9,28.,26.9,26.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3444,Waldkirch,24.,22.6,21.3,20.5,19.9,19.3,17.8,17.3,16.9,16.1,14.7,14.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
